,SMILES,N2 permeability (barrer)
0,*/C(=C(/*)c1ccc([Si](C)(C)C)cc1)c1ccccc1,560.0
1,*/C(=C(/*)c1ccc([Si](c2ccccc2)(c2ccccc2)c2ccccc2)cc1)c1ccccc1,2.78
2,*/C(C)=C(/*)C(C)C,1330.0
3,*/C(C)=C(/*)[Si](C)(C)C,6300.0
4,*/C(C)=C(/*)c1ccccc1,21.0
5,*/C=C(/C*)C(=O)OCCOCCOCCOCC,2.0
6,*/C=C/C1CC(*)CC1[Si](C)(C)C,7.2
7,*/C=C/C1CC(*)CC1[Si](C)(C)C[Si](C)(C)C,3.7
8,*/C=C/C1CCC(*)C1,1.5
9,*/C=C/c1ccc(*)cc1[Si](C)(C)C(C)(C)C,1.5
10,*/C=C/c1ccc(*)cc1[Si](C)(C)CCCC,1.1
11,*/C=C/c1ccc(*)cc1[Si](C)(C)CCCCCCCC,3.9
12,*/C=C/c1ccc(*)cc1[Si](C)(C)CCCCCCCCCCCCCCCCCC,4.5
13,*/C=C/c1ccc(*)cc1[Si](CC)(CC)CC,1.8
14,*=CC1CC(C=*)C(C(F)(F)F)(C(F)(F)F)C1(F)F,13.85
15,*=CC1CC(C=*)C(F)(OC(F)(F)C(F)(F)C(F)(F)F)C1(F)F,17.0
16,*=CC1CC(C=*)C([Si](C)(C)C)C1,8.95
17,*=CC1CC(C=*)C2C(=O)C(c3ccccc3)C(=O)C12,0.31
18,*=CC1CC(C=*)C2C(=O)N(C34CC5CC(CC(C5)C3)C4)C(=O)C12,0.5
19,*=CC1CC(C=*)C2C(=O)N(C3CCCC3)C(=O)C12,0.45
20,*=CC1CC(C=*)C2C(=O)N(C3CCCCC3)C(=O)C12,0.52
21,*=CC1CC(C=*)C2C(=O)N(c3c(F)c(F)c(F)c(F)c3F)C(=O)C12,1.55
22,*=CC1CC(C=*)C2C(=O)N(c3cc(C(F)(F)F)cc(C(F)(F)F)c3)C(=O)C12,4.2
23,*=CC1CC(C=*)C2C(=O)N(c3ccccc3)C(=O)C12,0.31
24,*=CC1CC(C=*)C2C1C([Si](O[Si](C)(C)C)(O[Si](C)(C)C)O[Si](C)(C)C)C2[Si](O[Si](C)(C)C)(O[Si](C)(C)C)O[Si](C)(C)C,100.0
25,*=CC1CC(C=*)C2C1CC2[Si](O[Si](C)(C)C)(O[Si](C)(C)C)O[Si](C)(C)C,55.0
26,*=CC1CC[C@@H](/C=C/C2CCC(/C=C/[C@@H]3CCC(C=*)C3)C2)C1,0.7
27,*=CC1CC[C@@H](/C=C/C2CCC(/C=C/[C@H]3CCC(C=*)C3)C2)C1,2.2
28,*=CC1OC(C=*)C2C(=O)N(c3c(F)c(F)c(F)c(F)c3F)C(=O)C12,1.08
29,*C(=C(*)c1ccc(-c2ccc(C(C)(C)C)cc2)cc1)c1ccccc1,70.5
30,*C(=C(*)c1ccc(-c2ccc([Si](C)(C)C)cc2)cc1)c1ccccc1,160.0
31,*C(=C(*)c1ccc(-c2ccccc2)cc1)c1ccccc1,65.0
32,*C(=C(*)c1ccc(C(C)(C)C)cc1)c1ccc(O)cc1,23.0
33,*C(=C(*)c1ccc(C(C)(C)C)cc1)c1ccc(O[Si](C)(C)C(C)(C)C)cc1,210.0
34,*C(=C(*)c1ccc(C(C)(C)C)cc1)c1ccccc1,930.0
35,*C(=C(*)c1ccc(C(C)C)cc1)c1ccccc1,150.0
36,*C(=C(*)c1ccc(CCCC)cc1)c1ccccc1,11.0
37,*C(=C(*)c1ccc(C[Si](C)(C)C)cc1)c1ccccc1,44.0
38,*C(=C(*)c1ccc(O[Si](C)(C)C(C)(C)C)cc1)c1ccc(F)cc1,55.0
39,*C(=C(*)c1ccc([Si](C(C)C)(C(C)C)C(C)C)cc1)c1ccccc1,130.5
40,*C(=C(*)c1ccc([Si](C)(C)C)cc1)c1ccc(-c2ccc(C(C)(C)C)cc2)cc1,250.0
41,*C(=C(*)c1ccc([Si](C)(C)C)cc1)c1ccc(O[Si](C)(C)C(C)(C)C)cc1,390.0
42,*C(=C(*)c1ccc([Si](C)(C)C)cc1)c1ccccc1,537.5
43,*C(=C(*)c1ccc([Si](C)(C)CCCCCCCC)cc1)c1ccc(C(C)(C)C)cc1,7.5
44,*C(=C(*)c1ccc([Si](C)(C)CCCCCCCC)cc1)c1ccc(C(C)C)cc1,9.1
45,*C(=C(*)c1ccc([Si](C)(C)CCCCCCCC)cc1)c1ccc(CCCC)cc1,7.9
46,*C(=C(*)c1ccc([Si](C)(C)CCCCCCCC)cc1)c1ccccc1,11.0
47,*C(=C(*)c1ccc2c(c1)C(C)(C)C(C)(C)C2(C)C)c1ccccc1,10200.0
48,*C(=C(*)c1ccc2c(c1)C(C)(C)CC2(C)C)c1cc(F)cc(F)c1,13100.0
